Titre,Texte,Image,Catégorie,Tags,Statut Site,Statut LinkedIn,Texte LinkedIn,Notes
Comment préparer une conversation difficile,"Tu as retrouvé ton regard positif. Bien joué.
Maintenant, place à l’étape suivante : préparer la conversation elle-même.
Mais attention — on ne prépare pas une confrontation. On prépare un nouveau départ commun.

Commence par rêver un peu.
Si tout allait mieux… à quoi le verrais-tu ?
Quelles seraient les preuves concrètes que les choses avancent, que le lien se retisse ?
Note 5 à 10 indices. Des signes visibles. Des petits détails qui changent tout.
Tu poses le décor de ton idéal, et tu lui donnes des contours clairs.

Ensuite, fais le point.
Sur une échelle de 1 à 10, où en est la situation aujourd’hui par rapport à ce que tu viens de décrire ?
Et surtout : qu’est-ce qui fait que ce n’est pas un zéro ?
Ces éléments-là, si discrets soient-ils, sont de l’or en barre.
Ce sont les germes de ce que tu veux voir grandir. Appuie-toi dessus.

Enfin : à quoi ressemblerait +1 sur cette échelle ?
Pas besoin de viser l’utopie.
Un petit pas, mais un pas net.
Ce sera le cœur de ta proposition quand tu prendras la parole.

💬 Avant de parler, éclaire ta carte. Autant pour savoir où aller… que pour savoir comment partir.","""ChatGPT Image 21 avr. 2025, 13_52_34.png (https://v5.airtableusercontent.com/v3/u/49/49/1767988800000/JNVGG8o6REHRpTBmH5STXQ/53zSsFY9S5T_hr7LPG1WPn4vWzOne2MtNMrRWUQ3XWH9LcwD3o89sT548uQzN-gvuDzUMNZPtIpmdeMB7JZ_-U42LWdlvEDRRLWwCBNdy5YrGTEVdGIkAc0LufneLTf7nkeSEf5SBODFBLF_PiJnyRPf_Y3TD2Dpw9bXRB2pAgiJzkgHDlxH4Qotr78Xab3U/hpsSDzO1qhLQuqW02UlhYEOYnPU6mY_fBa6LUowKses)""","La bonne question,Pouvoir sans pouvoir","réflexion individuelle,leadership,outil,ralentir,Resource,Solution Focus",Publié,Brouillon,,
Comment mener la conversation d'ajustement,"Tu es prête. Tu sais ce que tu apprécies.

Ton discours est prêt. Tu sais où tu veux que vous alliez. Tu vois où vous en êtes. Et tu as une idée de ce que pourrait être le petit pas d’après.

Il est temps d’inviter. Mais attention : pas pour “mettre les choses à plat”. Pas pour “exprimer ton point de vue”. Pour créer une alliance.

Prends le temps de poser le cadre :

1/ “J’aimerais qu’on prenne quelques minutes ensemble. Merci de prendre ce temps pour que nous puissions discuter.” (On s’arrête de « faire » pour prendre du recul)

2/ “Il y a un sujet important pour moi : [insère le thème].”

3/ “Je pense que ça pourrait vraiment nous aider, à toi comme à moi : [explique les bénéfices concrets].”

4/ “J’ai pris le temps de réfléchir. Voici ce qui me convient déjà. Voilà aussi ce que j’aimerais observer bientôt.”

5/ “Et si on essayait un petit pas ? Voilà ce que je te propose…”

Et puis écoute. Laisse l’autre compléter la danse.

💬 « On ne change pas une relation avec des reproches. On la transforme avec une proposition. »

Qui aurait cru que le +1 pouvait faire autant d’effet ?","""ChatGPT Image 21 avr. 2025, 14_03_54.png (https://v5.airtableusercontent.com/v3/u/49/49/1767988800000/k8egbp-Z4_j-NrpCoGcDEQ/L7hFg41WwSoOPUY8S58h6nOLpcPc3htNIRH90giR9JCIhceN8OzDNjZBJ-zeR1KxqBGLNh48wb4fjdtwUsVuXDpsqz9UCeaS9So-v8KpXycQQsrekzOnSXe2rFSXbtLggjYewd8vWffppUunudaUFi-Dm4x2eF-nxLdMEX75mTlyFVR17EyYpehSangdW3rg/lKCNFHDmSBH3iPkuROkPUKvcJJfhtlJSEhU-M-TtX1s)""","La bonne question,Pouvoir sans pouvoir","outil,Solution Focus,leadership,ralentir,Resource",Publié,Brouillon,,
Comment retrouver l'attention d’un groupe ?,"Il y a ce moment magique — ou périlleux — dans tout workshop.

Les conversations battent leur plein en petits groupes. Ça rit, ça cogite, ça construit. Et puis… il faut revenir au grand groupe. Recentrer l’attention. Repartir ensemble. Et là, tu sens le vertige : comment interrompre sans casser l’énergie ?

Tu pourrais crier (mais on n'est pas au marché). Tu pourrais taper dans tes mains (ambiance kermesse). Tu pourrais attendre poliment (et voir ton timing exploser).

Mais il existe un geste. Simple. Silencieux. Élégant.

Lever la main.

Une facilitatrice lève la main. Une participante voit, termine sa phrase, lève la main à son tour. Le signal se propage, les conversations s’éteignent doucement. Le groupe revient à l’unisson, sans friction. Pas besoin de crier. Pas besoin de déranger.

Un code. Pas si secret. Un code qu’on rêve de voir adopté partout.

Un geste de respect. Un réflexe collectif. Un petit bijou d’intelligence facilitatrice.

Et moi ? Quand je vois toutes ces mains se lever…
Je suis comblée.","""ChatGPT Image 22 avr. 2025, 15_29_58.png (https://v5.airtableusercontent.com/v3/u/49/49/1767988800000/lGuenqlPAy-ql5GVfHe-_g/vqmbPsmVrSsKK6ZD-NenPAQlsc2LGjyydURg0M49yB7ChkX-4klatmC7tH-X06WGSCX8TCL4Mjqp05EgIUZPuMbmf2OIWM6LNFjaJKdGotUqAhH6JL0hLg2Nl5AcUWGPp4UJRU2ROGCo1o6hmsE30i4JiJMKXx6QES1f9oSZBfnYnFJFU5jkRojfqI7yTee3/H1bicZIYWFsumeNuOQrsMDpc61nIltBvyU0APleLjNA)""",En collectif,"facilitation,astuce,outil,basique,workshop",Publié,Brouillon,,
Comment faire pour que tout le monde s'exprime,"Le long silence gênant. Toi-même tu connais.

La question est lancée. Chacune regarde ses notes. Tu sens que des idées bouillonnent, mais personne ne se jette à l’eau.

Et puis, souvent, c’est la même personne qui parle. Ou pire : c’est le vide.

Ce n’est pas que les autres n’ont rien à dire. C’est juste… qu’elles n’osent pas.

Prendre la parole devant un groupe, même amical, même professionnel, c’est une montagne pour certaines. Le cœur bat plus vite, la voix tremble, la gorge se serre. On se demande si notre idée est claire, pertinente, utile.

J'ai un truc pour toi. Simple. Redoutablement efficace.

Avant d’ouvrir la discussion à tout le monde, j’invite chacune à parler à sa voisine. Juste deux, trois personnes. Un micro-groupe.

Parce qu’à cette échelle, c’est plus facile. On teste son idée. On affine sa formulation. On se sent écoutée. Et surtout : on voit que notre idée n’est pas si absurde. Peut-être même qu’elle fait tilt.

Et là… la magie opère. La confiance monte. Et l’envie de partager s’invite.

Pas besoin de passer de 2 à 150 personnes d’un coup. Parfois, le bon escalier, c’est une discussion à 6 ou 7, avant le grand plongeon.

Et ce petit secret, je l’utilise aussi en conférence. Parce que même dans un auditoire de 300 personnes, une conversation entre voisines peut transformer l’ambiance.

Alors la prochaine fois que le silence s’installe, tu sauras quoi faire.
Une petite conversation à deux, et hop, l’envie de parler fait son nid.

Allez, je te laisse souffler ce secret à ta voisine…","""ChatGPT Image 24 avr. 2025, 15_34_09.png (https://v5.airtableusercontent.com/v3/u/49/49/1767988800000/jMfqAlGkufal1H3akNQ54A/_hyIvK5PIC9bbX8f2_nZCjnryqOzHUOhtj1_vvFZMkq5iZQKj1dF8Q3tJkCm72GOsyGINvY1thSJnyFOI3IvvSlh7Rtr-Lv8fgTNOSTtRlYx91YzVzLwhGBhh0Px5bB7f56wBT6Hsnn-u6xOcx3vZaeHWnXPWV7M5lNPUHXLlFdJiBKPSP3N0TbglLmxo87t/bgFl00eUu0FAzJAeOqRJT6ze3O3Vaonuemvj4vSKeA4)""",En collectif,"astuce,basique,facilitation,outil,ralentir,workshop",Publié,Brouillon,,
Comment réagir à une plainte,"— Franchement, je ne comprends pas pourquoi on change encore d’outil…
— C'est toujours à la dernière minute…
— Je perds un temps fou à chercher les infos…

Tu sais que balayer la plainte d’un revers de main ne ferait que renforcer le malaise.
Mais tu n’as pas non plus envie de transformer ce workshop en séance de doléances.

Alors tu respires.
Et tu écoutes.

Pas juste les mots.
Tu écoutes au-delà des mots.

Tu cherches les ressources dans ce qu’elle dit.
Parce que si elle s’exprime, c’est qu’elle tient à quelque chose.
Et ce quelque chose, c’est souvent une pépite.

Peut-être qu’elle a mis en place mille petites stratégies pour que son équipe tienne le cap.
Peut-être qu’elle dit, sous sa lassitude, un vrai besoin de stabilité, de repères, ou de clarté.

Tu peux l’accueillir, sans dramatiser.
Et plus tard, tu pourras activer ses forces, parce que tu les auras vues. Parce que tu auras su les écouter.

Écouter une plainte, ce n’est pas céder.
C’est repérer ce qui compte.
Et c’est parfois là que commence la vraie collaboration.

— Et tu sais que je le fais aussi dans les réunions les plus tendues.
Parce qu’entre une plainte et un potentiel, il n’y a qu’un battement d’oreille...","""ChatGPT Image 24 avr. 2025, 16_01_51.png (https://v5.airtableusercontent.com/v3/u/49/49/1767988800000/ORTde30gEyYTTlhCPW1G6Q/CAy571_4NCmdPb5ou5_zYuE0P6O_N5_FFhb95ajseM6bbk28jfqrDjyM_ykT7NcIKcJ6UMadJtUPtOZGOG9om9OUYPXm3elrBP7kVlCzHGXsMxlstFYrflRhYu-CrQL2UJsUinOQfUVJYFzLWzXbGvNWeXSkhzzmPgKFugMUnS3aznG_oyNiQCNNJAAPJlRM/BRnoFw-0_VvJ6gnHwK7i3HSJ6bvyOuMUv_MdK79kYTw)""",La bonne question,,Publié,Brouillon,,
Comment doser les pauses en atelier,"La pause.

Ce moment de creux qui accélère tout du reste.
Le silence entre deux notes.
Le couloir entre deux salles.
La respiration d’un workshop.

Quand on anime une journée entière – séminaire stratégique, lancement de projet, rétrospective d’équipe – on pense au déroulé, au rythme, aux post-its… mais trop rarement à la pause.

Et pourtant, elle n’est jamais neutre.
Elle peut relancer une dynamique. Réparer un frottement. Faire émerger une idée.

💡 Deux écoles, deux philosophies.

La première, minimaliste :

“Faites vos pauses quand vous voulez, comme dans une journée normale de boulot.”
Responsabilisant, fluide, presque militant. 
On crée un climat de confiance et de liberté.

La deuxième, plus cadrée :

“Pause à 10h30, 12h30, 15h30.”
Et là… ça peut accélerer tes résultats de workshop.
👉 car les discussions les plus précieuses ont souvent lieu pendant les pauses.

Mais alors, combien de temps faut-il leur accorder ?

 C’est une question de… plomberie.

Oui, tu as bien lu.

Car la qualité d’une pause dépend souvent du nombre de toilettes. 
Et plus exactement du nombre de toilettes accessibles aux femmes.
Puisqu’on y fait souvent la queue. Longtemps.

Alors si tu veux que ton atelier respecte les rythmes de toutes, commence par une visite de repérage.

🎯 Le design d’un bon atelier commence parfois… dans les détails logistiques.
Et ces détails, bien pensés, peuvent changer l’ambiance et la qualité des interactions.

Et souviens-toi… Ce n’est pas dans la salle que tout se joue. C’est souvent entre deux portes.","""ChatGPT Image 25 avr. 2025, 11_11_47.png (https://v5.airtableusercontent.com/v3/u/49/49/1767988800000/fAznOvi3ORs89E_dH0IbOQ/WRCXHEKwYMrW8WL58R3I-b86rfyNMlXazw3ihSnEJ7qN9i6XE-wyu-m37U4Vvqx9z53khFF_sWmcbs-_vBOlh-l50gONBrAOlfmW8VDjz40PzJByNOGqaBrg8jgHqctfjfGOJMrAWkRIgHDKbM05FfjxaTJo0E7Hu26d0pWMf1fSNxb2kB9oK_7gMO_gamSL/gAlUKqPTqxeIvYuNpsfK6fLMyieVLuxM8BkI8kNW0J0)""",En collectif,"facilitation,workshop,astuce,pause",Publié,Brouillon,,
Comment sortir la conversation du tout ou rien,"Les premières phrases claquent parfois comme des portes.

« Ce projet est nul / Rien n’avance jamais ici. »
« Cette équipe doit être fermée / Cette personne devrait être virée. »
« Moi, je n’ai rien fait / je ne sais rien faire. »

Quand l'ambiance est électrique et les jugements tranchants, le réflexe serait de raisonner, de tempérer, de convaincre.
Mais il existe un chemin plus subtil — et surtout plus fécond : ouvrir un espace de nuance.

✨ C’est là que l’Échelle entre en scène.

Au lieu d'opposer les extrêmes — bon/mauvais, capable/incapable —, on invite chacune à placer un curseur sur une échelle.

Par exemple :

Sur une échelle de 1 à 10, à quel point le projet est-il déjà avancé ?

Sur une échelle de 1 à 10, à quel point l'équipe fonctionne-t-elle ?

Sur une échelle de 1 à 10, à quel point es-tu compétente sur ce sujet ?

L’échelle casse la logique du noir ou blanc.
Elle fait apparaître les nuances de gris… puis éclore les couleurs.

🎨 Et dans ces couleurs, naissent des chemins nouveaux : ceux de la lucidité, des possibilités et de la confiance.

💬 Et toi, sur une échelle de 0 à 10... à quel point tes questions ouvrent-elles des espaces de nuance ?","""ChatGPT Image 28 avr. 2025, 14_31_23.png (https://v5.airtableusercontent.com/v3/u/49/49/1767988800000/JigKMfxhABfOxty0rmDjdA/yflUremK405VfV7GVnU0swX0BYZAf-nIg5s62ZDl5oaX7sN8_G4hG-9RyzZMsuongrmQsDJa0SFaF2r4OA9DhsOhjGgXzgpixNpVLDV_MQmTsW0xFzjWvobja8U16yvgY01VlLGEsLVwhgyvQiv1kumUXVloZ8fj3Mx8k5vwz-CNAScjjYYF2DqVLu9ikeIy/ThHcJNggtCEfeng-mg-LqOb6MUOW0l7kB7eOK21g-Hs)""",La bonne question,"échelle,coaching,facilitation,intelligence collective,Solution Focus,workshop",Publié,Brouillon,,
Comment clarifier la todolist en équipe,"C’est le tout début. Le kick-off.
Celles qui sont là veulent avancer. On rêve à ce que donnera le projet terminé, à l’impact, à ce que ça va changer pour les utilisatrices. Et puis très vite, l’impatience monte : « Bon, et maintenant, on fait un planning ? »

Ralentis.

Avant de dégainer les deadlines et les rétroplannings, je propose autre chose : un petit détour par le dressing. Oui, le dressing.

On prend tous les post-its du brainstorming, et on les classe… par taille de T-shirt.
XS, S, M, L, XL, XXL.

Pourquoi ? Parce que c’est simple. Visuel. Et surtout ça déclenche trois conversations puissantes.

1. La conversation sur la valeur
Est-ce que l’effort nécessaire pour réaliser cette tâche est proportionné à l’impact qu’elle aura ?
Parfois, une énorme idée n’apporte pas tant de valeur que ça. Parfois, un petit détail change tout.
Mettre les post-its côte à côte, par taille perçue, fait remonter ces tensions-là. Et ça permet de faire des choix en conscience.

2. La conversation sur les divergences
Tu crois que ce post-it, c’est du XS. Ta collègue le voit en XL.
Plutôt que d’arbitrer, on ouvre la discussion : qu’est-ce qui fait qu’on voit les choses si différemment ?
Souvent, ce n’est pas qu’on n’est pas d’accord : c’est qu’on ne parlait pas exactement de la même chose.
Et là, hop, clarification.

3. La conversation sur les mastodontes
Quand une tâche est classée XL ou XXL, il y a deux options.
➊ Elle est trop grosse, alors on la découpe. On verra mieux ce qu’il y a concrètement à faire, et on pourra vraiment la plannifier.
➋ Elle est là parce qu’on n’a aucune idée de combien de temps ça va prendre… alors la première tâche c’est d’enquêter.

C’est pas la taille qui compte. C’est la conversation qu’elle déclenche.","""ChatGPT Image 1 mai 2025, 10_48_31.png (https://v5.airtableusercontent.com/v3/u/49/49/1767988800000/19l4Y1Jt2syn5Skls8XlGQ/aCb3CVwT6oRqCnVMVpw4hX7zAga_SEQigWjYUMbd7x3vmUArltx3hDjZ-3IIw0KlVOoQhpiBrZzJfwywsxf0klmPP8uc3D3KxDk3EmzMFFWIdglxa72naP0hHYQERyQP1fq0q905Fo_ysZP35D6b2Am1D3ikPkSGVxeXBVBB9XVXoSbUkgAAwQRqz7wtT3i7/IRq5L9AjaV3BzrcDzlj8O7tGs8IqK0vZQUaGma6-oTs)""",En collectif,"facilitation,outil,gestion de projet,intelligence collective,ralentir,workshop",Publié,Brouillon,,
Comment tirer le meilleur d’une question échelle,"Tu connais déjà l’outil : la fameuse question échelle.
Elle sert à amener de la nuance, à sortir des jugements à l’emporte-pièce, à ouvrir des possibles dans une conversation ou un atelier.

Et franchement, ça marche.
Un petit “sur une échelle de 1 à 10…”
Et hop, la discussion devient plus fine, plus riche, plus complexe dans le bon sens du terme.

Mais attention, il y a un piège.
Un piège tellement intégré à notre manière de penser qu’on le voit à peine.
Et pourtant, il sabote tout l’intérêt de l’échelle.

💥 Ce piège ? C’est de vouloir aller trop vite vers… le manque.
“Qu’est-ce qui manque pour que ce soit 10 ?”

Logique ? Oui.
Utile ? Pas tant que ça.

Parce qu’en te focalisant sur ce qui n’est pas encore là, tu envoies le message que ce qui est déjà là n’a pas de valeur.

💡 Ce que je te propose à la place :
➡️ “Qu’est-ce qui fait que tu es déjà à 5, et pas à 1 ?”
Autrement dit : qu’est-ce qui marche, même un peu ?

Tu verras les visages se détendre.
Tu récolteras des ressources, de la fierté, de la confiance, de l’énergie mobilisable.

Et ensuite, oui, tu pourras ouvrir les perspectives.
Mais sans casser ce qui fonctionne déjà.
Parce que si on ne prend pas conscience de ce qu’on veut garder, on risque de le perdre en chemin.

L’échelle, ce n’est pas un examen.
C’est un point d’étape dans un voyage collectif.
Un moment pour savourer ce qui tient debout, avant de construire la suite.","""ChatGPT Image 2 mai 2025, 15_32_53.png (https://v5.airtableusercontent.com/v3/u/49/49/1767988800000/X4Fw1I3N3i5-2A7fDyOuZg/E5VvgkSHz3FkpTG3w_859pCj021AUx62m9GIEy2z77nSdXE2V93tkUIty2IiX3SkA0TxSe6djoOFQop3a5F4Uw3UuiOBQP2LHvWdYXccVipMk_XgQPP5Gnn1qT5GzamZZqHm53jgNC2Al-VYNgkVkJ4K3EDLJYRX0dPN6K38RIMqTOgPcIMfQinqjcEfW8nP/G914wlicm9UlM4rHo9P-NqjBeDOYrRH4lAtV3tvm2bY)""",La bonne question,"coaching,facilitation,intelligencecollective,outilfacilitateur,questionpuissante,softskills,solutionfocus",Publié,Brouillon,,
Comment faire un planning en équipe,"On sait ce qu’on veut.
On a tout posé : une longue liste de tâches, un descriptif enthousiaste et ultra détaillé de ce qu’on rêve de construire ensemble.
Mais concrètement… on s’y prend comment ?
Et si on se mettait d’accord sur le séquencement du projet, histoire de ne pas partir dans tous les sens ?

Moi, dans ces cas-là, je dégaine ma matrice magique.
Un outil tout simple, mais terriblement efficace pour transformer une todo list prolixe en plan d’action clair, visuel, et surtout partagé, et surtout les discussions qui l'accompagnent.

🔧 Le principe ?

On reprend les post-its (ou mieux : les résultats attendus), et on les organise sur deux axes :

🧱 Axe horizontal : les building blocks du projet
👉 Ça peut venir du parcours utilisateur, des fonctionnalités clés, ou même des phases du projet. On en garde entre 3 et 7 pour rester lisible.

⏳ Axe vertical : la priorité temporelle
Chaque colonne se divise en 3 étages :

Maintenant (1 seul post-it : il faut choisir !)

Ensuite (3 post-its maximum)

Plus tard (tout le reste)

🎯 Pourquoi ça marche ?

Parce que ça oblige à se parler vraiment.
À arbitrer. À renoncer un peu. À prioriser ensemble.

On se met d’accord sur ce qui vaut le coup de commencer : ce qui peut rapporter vite ou dérisquer la suite.
On rend visibles les arbitrages, on alignes les énergies, et on garde de la souplesse pour ajuster plus tard, quand on aura déjà un retour sur les premiers développements.
Tu sais, quand tu prends soin de la cadence.

Parce que choisir c'est déjà avancer.
Parce qu'on peut commencer, dès maintenant, dès ce soir, dès demain.","""ChatGPT Image 5 mai 2025, 14_55_16.png (https://v5.airtableusercontent.com/v3/u/49/49/1767988800000/l6--jRAltDqCCEIb9VGQ5Q/HX0n7_kxYD15hT-P9X5Sdd7WklVGTg0znQMnK9jTM3ojkcRaoFjD9GtkO9zjW8ApZJjmaOT5fSsMxIRyXpsLp_VyCEnPpPZ78BFXn_gwn8f9IA7TVmj_wgEycl8UmpNSGWttJSSCFugftF9y2FLD6WwKPJygyI4xNzySZ5oRFkyL9x7Lprx_TrCAHAw2xU7H/0hykBNEqtLynLfnIe2sJ1ejZb3WZT-7DNlrObkMPWkU)""",En collectif,"atelier,facilitation,intelligence collective,outil,outil facilitateur,planning,workshop design",Publié,Brouillon,,
